Name,URL,Date,Start,Location,Organizer,Cost,Summary
Ȟaȟá Wakpádaŋ Loopet Loppet,https://loppet.org/event/%c8%9fa%c8%9fa-wakpadan-loopet-loppet/,10/18/2025,7:00:00 AM,"The Trailhead, Theodore Wirth Park, Minneapolis, MN",Loppet Foundation,"Varies (multiple race options, check website)","Join for a 6 or 12-hour trail hike or run as an individual or with a relay team along Bassett Creek. The event includes an Indigenous People’s festival from 9am–2pm at the Trailhead featuring Native vendors, chefs, artists, storytellers, and community partners. Food at aid stations will highlight Dakota foods. The event encourages use of alternative transportation, and bag drop is provided."
Leaves and Bark: Nature's Fingerprints,https://arb.umn.edu/learn/leaves-bark-fingerprints,10/18/2025,9:30:00 AM,"3675 Arboretum Drive, Chaska, MN 55318",Minnesota Landscape Arboretum,Advance registration required,Join an outdoor class to learn how to identify trees using leaves and bark. Deepen your appreciation for local biodiversity during this hands-on experience.
Let's Talk Tree ID,https://www.dnr.state.mn.us/state_parks/event.html?id=84343,10/18/2025,1:00:00 PM,Fort Snelling State Park,Minnesota DNR,Free,Hike a one-mile loop in the floodplain forest to learn how to identify different tree species. Meet at the Thomas C. Savage Visitor Center; no registration required.
Milk Paint Basics,https://asimn.org/event/milk-paint-basics/,10/18/2025,9:00:00 AM,"American Swedish Institute, 2600 Park Ave, Minneapolis, MN 55407",American Swedish Institute,$100 ($90 ASI member) + $60 material fee,"Learn how to mix, apply, and finish eco-friendly milk paint using natural pigments. Make sample tiles and explore durable, natural finishing techniques for wood projects."
Queer Night + Over The Garden Wall,https://theclaypit.kilnfire.com/classes/queer-night-over-the-garden-wall,10/18/2025,6:00:00 PM,"The Clay Pit, Twin Cities, MN",Soren Aster,$5-$30+ sliding scale,"Make and decorate a clay piece with guidance. Enjoy a screening of Over The Garden Wall, free non-alcoholic drinks, and community claymaking. All materials provided; finished pieces are fired and returned in 2-3 weeks. Open to queer adults; masks required."
Seed Collection Event,https://www.dnr.state.mn.us/state_parks/event.html?id=80833,10/18/2025,12:30:00 PM,William O'Brien State Park,Minnesota DNR,,Learn to identify native prairie plants by their seed heads and collect seed for park restoration and reseeding projects. Participants should wear long pants and bring water; meet at the visitor center.
Tree Planting at The Heights,https://www.givepulse.com/event/633622,10/18/2025,9:00:00 AM,"The Heights, Saint Paul, MN",Great River Greening,,Participate in a public tree planting event at The Heights to support local urban reforestation. All tools and instructions provided.
Volunteer with the Sierra Club at No Kings,https://act.sierraclub.org/events/details?formcampaignid=701Po00001AB23ZIAT&mapLinkHref=,10/18/2025,11:00:00 AM,"Minneapolis, MN",Sierra Club North Star Chapter,Free,Help spread the word and build the environmental movement. Volunteer roles and tasks provided on-site.
Aquaponic Farming: From Fingerling to Fish Fry,https://w-e-i.org/event/2025-aquaponic-farming/,10/19/2025,1:30:00 PM,"Women's Environmental Institute, 15715 River Road, North Branch, MN",Women's Environmental Institute,,"Start a seven-month training course on aquaponic farming. Learn how to grow fish and greens together for fresh organic greens and protein, with guidance on running a sustainable aquaponics system."
Fall Colors Qigong,https://mnthreeriversweb.myvscloud.com/webtrac/web/iteminfo.html?Module=AR&FMID=571877099,10/19/2025,11:00:00 AM,Cleary Lake Regional Park,Three Rivers Park District,$9.00,"Practice qigong and tai chi forms lakeside to promote flow with nature, quiet the mind, and improve well-being. Bring a yoga mat or towel for seated activities."
Fix-In: Focus on Brooms and Cauldrons,https://www.simpletix.com/e/fix-in-focus-on-brooms-and-cauldrons-tickets-236578,10/19/2025,3:00:00 PM,Minnesota Tool Library (exact branch/location not listed),Minnesota Tool Library,,"Bring in your broken brooms, cauldrons, or other items and get repair assistance from volunteer fixers at this community Fix-In event."
Hiking / Sandhill Crane Viewing,"https://act.sierraclub.org/events/details?formcampaignid=701Po000016bTTxIAM&mapLinkHref=https://maps.google.com/maps&daddr=Hiking%20/%20Sandhill%20Crane%20Viewing@45.4944951101,-93.7129656854",10/19/2025,2:00:00 PM,"Blue Hill Trail, Sherburne National Wildlife Refuge, Zimmerman, MN",Sierra Club North Star Chapter,Free,Hike the Blue Hill trail and view sandhill cranes during their migration in the refuge's fields or viewing area.
Sound Meditation with Waking Nomad,https://mnthreeriversweb.myvscloud.com/webtrac/web/iteminfo.html?Module=AR&FMID=572425681,10/19/2025,9:30:00 AM,Silverwood Park,Three Rivers Park District,$30.00,"Participate in sound meditation featuring movement, breathwork, and a 60-minute session using sound as a tool for awareness and relaxation. Bring a yoga mat, pillow, blanket, and comforts for lying down."
Femme Woodworking Night,https://wa.tcmaker.org/widget/event-6382436,10/20/2025,6:00:00 PM,"TCM Woodshop, 3119 E 26th St, Minneapolis, MN 55406",Twin Cities Maker,Free,"Femme woodworkers gather for an evening of making, community, and skill-sharing. Build and work on projects in a supportive environment for femme-identified adults."
Ford Area C walking tour,https://fmr.org/events/ford-area-c-walking-tours,10/20/2025,4:30:00 PM,"Hidden Falls Regional Park, St. Paul",Friends of the Mississippi River,Free (registration required),"Take a guided walking tour of the Ford Area C site and learn about the Mississippi River cleanup efforts, the feasibility study, and actions residents can take. Meet at the picnic shelter, wear sturdy shoes, and bring a water bottle."
Gentle Yoga Flow,https://mnthreeriversweb.myvscloud.com/webtrac/web/iteminfo.html?Module=AR&FMID=572357707,10/20/2025,6:30:00 PM,Silverwood Park,Three Rivers Park District,$12.00,Learn foundational yoga postures and breathwork in a gentle flow class guided by an experienced instructor. Mats and props provided; comfortable clothes recommended.
Knit Happens,https://www.queermunitymn.com/knit-happens,10/20/2025,4:00:00 PM,"Queermunity, 3036 Hennepin Avenue, Minneapolis, MN 55408",Queermunity MN,Free,"Bring your board or card games, enjoy adult coloring, or join beginner knitting lessons. Participate in the Stitch & Bitch session for crafting and community support, with all supplies provided for structured activities."
Flavor School: Guided Chocolate Tasting with Equal Exchange,https://msmarket.coop/event/flavor-school-guided-chocolate-tasting-with-equal-exchange/,10/21/2025,6:30:00 PM,"Mississippi Market Co-op, 1500 West 7th Street Saint Paul, MN 55102",Mississippi Market Co-op,$7.89,Join Equal Exchange Co-op for a guided chocolate tasting. Learn about fair trade cacao and sample unique chocolate flavors; take home a goodie bag of Equal Exchange treats.
Open Circuits,https://wa.tcmaker.org/widget/event-6337443,10/21/2025,7:00:00 PM,"Electronics Lab / Lobby, Twin Cities Maker, 3119 E 26th St, Minneapolis, MN 55406",Twin Cities Maker,Free,"Bring your own electronics project for show-and-tell, work on personal builds, or contribute to community-focused tech projects involving energy monitoring and green tech. Connect with local makers, learn lab equipment, and collaborate on sustainable electronics solutions."
Sunset Yoga,https://mnthreeriversweb.myvscloud.com/webtrac/web/iteminfo.html?Module=AR&FMID=572462081,10/21/2025,6:00:00 PM,Silverwood Park,Three Rivers Park District,$12.00,"Join a sunset yoga class suitable for all abilities featuring breath work, structured sequences, and lively guidance from an experienced instructor. Register in advance or drop in."
Women in the Woods: Cryptids,https://www.dodgenaturecenter.org/event/women-in-the-woods-cryptids/,10/21/2025,7:00:00 PM,"1701 Charlton Street, West St. Paul, MN 55118",Dodge Nature Center,$20.00,Join naturalist Pam Welisevich and other women or non-binary adults to share a beverage and learn about mystical creatures called cryptids. Event is for adults age 21+.
